"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Alinteri Sosyal Bilimler Dergisi (ID 12364)","Alinteri Sosyal Bilimler Dergisi10.30913","open","0","26","false","true"
"Allerton Press (ID 1627)","Allerton Press10.3103","open","33930","6105","true","true"
"American Accounting Association (ID 1112)","American Accounting Association10.2308","open","6714","1096","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","American Association for the Advancement of Science (AAAS)10.1126","open","272232","13801","true","true"
"American Cancer Society (ID 1849)","Wiley (American Cancer Society) 10.3322","open","308","130","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.26434","open","1433394","119236","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.1021","closed","1433394","119236","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (ACS)10.29200","open","1433394","119236","true","true"
"American Dental Society of Anesthesiology (ADSA) (ID 1191)","American Dental Society of Anethesiology10.2344","open","393","111","true","true"
"American Geophysical Union (AGU) (ID 13)","American Geophysical Union10.1029","open","204761","15726","true","true"
"American Institute of Aeronautics and Astronautics (AIAA) (ID 1387)","American Institute of Aeronautics and Astronautics10.2514","open","242781","16006","true","true"
"American Pharmacists Association (ID 23)","American Pharmacists Association10.21019","open","1876","855","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society10.1103","open","599253","40915","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society (APS)10.29172","limited","599253","40915","true","true"
"American Physiological Society (ID 24)","American Physiological Society10.1152","open","163364","5715","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology10.1074","open","109326","4635","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology, Journal of Lipid Research10.1194","open","109326","4635","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1187","open","9814","903","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1091","open","9814","903","true","true"
"American Society for Clinical Investigation (ID 232)","American Society for Clinical Investigation10.1172","open","32166","1887","true","true"
"American Society for Microbiology (ID 235)","American Society for Microbiology10.1128","open","164776","12851","true","true"
"American Society for Pharmacology & Experimental Therapeutics (ASPET) (ID 36)","American Society for Pharmacology & Experimental Therapeutics10.1124","open","17009","1149","true","false"
"American Society of Hematology (ID 234)","American Society of Hematology10.1182","open","26319","2611","true","true"
"American Society of Neuroradiology (ASNR) (ID 1756)","American Society of Neuroradiology10.3174","open","4666","966","true","true"
"American Society of Parasitologists (ID 1220)","BioOne (American Society of Parasitologists)10.1645","open","4015","227","true","true"
"American Speech Language Hearing Association (ID 1310)","American Speech-Language-Hearing Association10.1044","open","23384","2478","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1513","open","50447","3016","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1164","open","50447","3016","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1165","open","50447","3016","true","true"
"Amp Complect Limited (ID 17605)","Amp Complect Limited10.32464","open","0","12","false","true"
"Anadolu ve Balkan Arastirmalari Dergisi (ID 18359)","Anadolu ve Balkan Arastirmalari Dergisi10.32953","open","0","14","false","true"
"Anafora (ID 11706)","Anafora10.29162","open","1","38","true","true"
"Anatolian Journal of Botany (ID 12070)","Anatolian Journal of Botany10.30616","open","0","29","false","true"
"Ankara Barosu Dergisi (ID 12367)","Ankara Barosu Dergisi10.30915","open","0","48","false","true"
"Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi (ID 16058)","Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi10.30964","open","1326","32","false","true"
"Annals of Surgical Hepatology (ID 6775)","Annals of Surgical Hepatology10.16931","open","14","184","false","true"
"ANO Clinic of NNIITO (ID 5655)","ANO Clinic of NNIITO10.14531","open","495","126","true","true"
"Antiquity Publications (ID 5856)","Antiquity Publications10.15184","open","507","509","true","true"
"AOSIS (ID 2580)","AOSIS10.4102","open","23263","3272","true","true"
"AOTA Press (ID 2927)","AOTA Press10.7139","limited","7049","1013","true","true"
"AOTA Press (ID 2927)","AOTA Press10.5014","limited","7049","1013","true","true"
"AOTA Press (ID 2927)","AOTA Press10.32998","open","7049","1013","true","true"
"AOTA Press (ID 2927)","AOTA Press (AOTA Continuing Education)10.7140","limited","7049","1013","true","true"
"AOTA Press (ID 2927)","AOTA Press (AOTA Special Interest Section Quarterlies)10.7145","limited","7049","1013","true","true"
"AOTA Press (ID 2927)","AOTA Press (OT Practice Magazine)10.7138","limited","7049","1013","true","true"
"APUB Co. Ltd (ID 16419)","APUB Co. Ltd10.31528","open","0","3","false","true"
"Arachnologische Mitteilungen (ID 15937)","Arachnologische Mitteilungen10.30963","open","0","28","false","true"
"Armacost Library (ID 11255)","Armacost Library10.26716","open","0","2","false","true"
"Art History Association of Korea (ID 16033)","Art History Association of Korea10.31065","open","225","60","true","true"
"Asia-Europe Perspective Association (ID 16045)","Asia-Europe Perspective Association10.31203","open","387","44","true","true"
"Asia-Pacific Network for Global Change Research (ID 12303)","Asia-Pacific Network for Global Change Research10.30852","open","0","19","false","true"
"Asian Medical Press Limited (ID 18295)","Asian Medical Press Limited10.32948","open","0","6","false","true"
"Asian Spine Journal (ASJ) (ID 16744)","Asian Spine Journal (ASJ)10.31616","open","698","322","true","true"
"ASM International (ID 14553)","ASM International10.31399","open","2722","238","true","true"
"ASME International (ID 33)","ASME International 10.1115","open","221072","21910","true","true"
"Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA) (ID 11326)","Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA)10.26784","open","252","59","false","true"
"Asociacion Espanola de Psiquiatria del Nino y del Adolescente - Aepnya (ID 16974)","Asociacion Espanola de Psiquiatria del Nino y del Adolescente - Aepnya10.31766","open","3","22","true","true"
"Asociacion Universitaria de Educacion y Psicologia (ID 11998)","Asociacion Universitaria de Educacion y Psicologia10.30552","open","352","156","true","true"
"Association for Computing Machinery (ACM) (ID 320)","Association for Computing Machinery10.1145","open","389600","57519","true","true"
"Association of Life-span Studies (ID 11974)","Association of Life-span Studies10.30528","open","26","31","true","true"
"Association of Lithuanian Serials (ID 3161)","Association of Lithuaninan Serials10.5200","open","719","272","true","true"
